Unnamed: 0,TMDB_ID,Title,Rating,Keywords,Poster_Link,Plot_Story,Genre1,Genre2
17679,852303,aurora 663,7.3,"mind control, assault rifle, anti hero, suspicion of murder, psychological stress, child hero, redemption, psychological thriller, struggle for survival, crime gone awry, gun violence, mysterious stranger, fight to death, shocking, gun fight, corrupt judge",https://image.tmdb.org/t/p/original/rbJ6G8s6fkblidLPDG54bzVrc4L.jpg,"A stranger with a mysterious past witnesses an airplane crash, and sets out to save the only survivor...a nine year old girl. Out-numbered, out-gunned, and relentlessly hunted for a crime he did not commit, the stranger must escape an army of blood-thirsty bounty hunters, as he desperately searches to save the injured child.",28,18.0
17680,1122432,totally n utterly,10.0,"slasher, cannibal, demon, short film, horror",https://image.tmdb.org/t/p/original/yRqvRPgk4yiGnFm9ixCf5V7YMcb.jpg,Two maneaters collect the souls of their friends at a house party for Satan,27,35.0
17683,1048648,six nights at simpson's,10.0,"horror spoof, fan film, horror parody",https://image.tmdb.org/t/p/original/4S6gz3tlW2aLbN7GvSXL9yNuTVV.jpg,"A tired security guard begins his job at a pizzeria, unaware that he is being stalked by a fearsome creature.",27,35.0
17684,1241339,sonic underground the movie: sonic and friends put on a play for little children,9.0,"arts and culture, romantic comedy, male homosexuality, school play, triplet, farmer, surreal humor, violence, sonic underground",https://image.tmdb.org/t/p/original/aTkufvCzwhNL0VrrL2JgxZT1iky.jpg,The Cultural Arts Festival is right around the corner and Sonic & Friends need to put a play together for the elementary school kids.,18,35.0
17687,1234448,the gaze,10.0,"feminism, hollywood, womenhood",https://image.tmdb.org/t/p/original/z8Cs3FFq3dMkc66b95VsVvA9tAt.jpg,"After watching a film, Jane, a young woman, finds herself trapped within the theater, under the haunting gaze of the man who resides there. During her time at the cinema, she discovers the truth of reality - that women face a predatory gaze throughout the course of their lives, and The Gaze captures Jane's journey trying to escape that harsh reality.",18,27.0
17690,976925,diegesis,10.0,"travel, genre bending, journey, love for cinema",https://image.tmdb.org/t/p/original/g1zDH69i5wGa0smf4bLmXETaivu.jpg,"A cinema-lover feels the urge to go to the bathroom during a movie but on his way, he travels through various film worlds. On his journey back to the cinema he meets a mysterious girl who claims to know everything, including how they magically transport into different genres. What follows is a magical journey back home to ""reality"".",28,9648.0
17695,1106224,love's a wash,10.0,"friendship, diner, love, laundry, sitcom, wine drinking, college life, teen dating, plot twist, twisted irony, upstate new york, fancy restaurant",https://image.tmdb.org/t/p/original/jHE4XkQDMUDanpAnb5unst2iDsX.jpg,"Stephen, a young curmudgeon, tries to fix his love life, and his laundry, with the help of his two best friends.",35,10749.0
17696,1031905,moments: six,7.8,"detective, moral ambiguity, conversation, serial killer, warehouse, high stakes",https://image.tmdb.org/t/p/original/pgd1mxPKwEddtst65yzGN0KATBl.jpg,A serial killer and the detective who tracked him down find themselves in an unexpected stalemate.,18,53.0
17700,1048237,stop,10.0,"afterlife, dream sequence, neo-noir, psychadelic, psychological mystery, independent film",https://image.tmdb.org/t/p/original/5ZtJXP3zlTSmurtkvFn1SEAvRMA.jpg,A simple reunion between two old friends at a bus stop is not what it seems.,27,9648.0
17706,1116472,raven,7.5,"end of the world, raven, science fantasy, eva vik",https://image.tmdb.org/t/p/original/pIbRSCBufWHXRvdYWKvwSwcvG5u.jpg,"Tasked to create new DNA and bring about the rebirth of the Planet Earth. Ravens, the engineered executioners, were designed to rid humankind of its very nature when a relationship between extraterrestrial intelligence and humanity occurs.",27,878.0
